native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.006,0.004,1.275,0.006,0.005,0.005,0.004,1.05,1.05,PASS,rope_gptj_il_s1,1,4,main
0.006,0.004,1.293,0.006,0.005,0.005,0.004,1.06,1.05,PASS,rope_gptj_il_s1,8,0,main
0.006,0.004,1.307,0.006,0.004,0.005,0.004,1.05,1.04,PASS,rope_gptj_il_s1,8,1,main
0.006,0.004,1.27,0.006,0.005,0.005,0.004,1.04,1.06,PASS,rope_gptj_il_s1,8,2,main
0.008,0.006,1.29,0.009,0.007,0.008,0.006,1.07,1.05,PASS,rope_gptj_il_s1,8,3,main
0.006,0.004,1.275,0.006,0.005,0.005,0.004,1.05,1.05,PASS,rope_gptj_il_s1,8,4,main
0.008,0.006,1.275,0.008,0.007,0.008,0.006,1.04,1.05,PASS,rope_gptj_il_s1,16,0,main
0.008,0.006,1.294,0.009,0.007,0.005,0.004,1.07,1.07,PASS,rope_gptj_il_s1,16,1,main
0.008,0.006,1.329,0.009,0.006,0.008,0.006,1.05,1.05,PASS,rope_gptj_il_s1,16,2,main
0.008,0.006,1.285,0.009,0.007,0.008,0.006,1.06,1.04,PASS,rope_gptj_il_s1,16,3,main
0.008,0.006,1.287,0.009,0.007,0.008,0.006,1.04,1.03,PASS,rope_gptj_il_s1,16,4,main
0.098,0.111,0.881,0.116,0.117,0.096,0.109,1.19,1.05,PASS,rope_gptj_il_s128,1,0,main
0.099,0.114,0.868,0.113,0.127,0.096,0.111,1.14,1.11,PASS,rope_gptj_il_s128,1,1,main
0.098,0.112,0.878,0.124,0.134,0.096,0.11,1.26,1.2,PASS,rope_gptj_il_s128,1,2,main
0.099,0.113,0.872,0.102,0.126,0.097,0.111,1.03,1.11,PASS,rope_gptj_il_s128,1,3,main
0.157,0.151,1.038,0.172,0.164,0.144,0.143,1.1,1.09,PASS,rope_gptj_il_s128,1,4,main
0.181,0.036,5.105,0.238,0.044,0.119,0.029,1.31,1.23,PASS,rope_gptj_il_s128,8,0,main
0.136,0.035,3.864,0.169,0.041,0.072,0.029,1.25,1.16,PASS,rope_gptj_il_s128,8,1,main
0.121,0.034,3.54,0.157,0.038,0.073,0.028,1.3,1.11,PASS,rope_gptj_il_s128,8,2,main
0.13,0.035,3.746,0.168,0.04,0.073,0.029,1.3,1.16,PASS,rope_gptj_il_s128,8,3,main
0.164,0.035,4.718,0.226,0.042,0.074,0.029,1.38,1.21,PASS,rope_gptj_il_s128,8,4,main
0.182,0.03,6.151,0.231,0.033,0.103,0.025,1.27,1.13,PASS,rope_gptj_il_s128,16,0,main
0.184,0.032,5.695,0.265,0.041,0.106,0.027,1.44,1.26,PASS,rope_gptj_il_s128,16,1,main
0.178,0.031,5.8,0.258,0.039,0.103,0.027,1.45,1.28,PASS,rope_gptj_il_s128,16,2,main
0.201,0.032,6.2,0.267,0.042,0.103,0.028,1.33,1.3,PASS,rope_gptj_il_s128,16,3,main
0.183,0.032,5.779,0.256,0.035,0.088,0.028,1.4,1.12,PASS,rope_gptj_il_s128,16,4,main
0.456,0.474,0.962,0.497,0.503,0.427,0.427,1.09,1.06,PASS,rope_gptj_il_s512,1,0,main
0.462,0.465,0.993,0.497,0.5,0.428,0.407,1.08,1.07,PASS,rope_gptj_il_s512,1,1,main
0.454,0.473,0.96,0.486,0.509,0.421,0.434,1.07,1.08,PASS,rope_gptj_il_s512,1,2,main
0.458,0.467,0.981,0.499,0.497,0.433,0.438,1.09,1.06,PASS,rope_gptj_il_s512,1,3,main
0.458,0.477,0.961,0.493,0.51,0.433,0.418,1.08,1.07,PASS,rope_gptj_il_s512,1,4,main
0.381,0.094,4.044,0.472,0.117,0.257,0.081,1.24,1.24,PASS,rope_gptj_il_s512,8,0,main
0.194,0.088,2.206,0.221,0.096,0.148,0.067,1.14,1.1,PASS,rope_gptj_il_s512,8,1,main
0.258,0.086,3.018,0.338,0.101,0.163,0.066,1.31,1.17,PASS,rope_gptj_il_s512,8,2,main
0.303,0.092,3.294,0.394,0.111,0.229,0.069,1.3,1.21,PASS,rope_gptj_il_s512,8,3,main
0.192,0.081,2.383,0.213,0.084,0.148,0.063,1.11,1.05,PASS,rope_gptj_il_s512,8,4,main
0.389,0.075,5.216,0.498,0.086,0.263,0.055,1.28,1.15,PASS,rope_gptj_il_s512,16,0,main
0.378,0.065,5.773,0.486,0.076,0.208,0.053,1.29,1.17,PASS,rope_gptj_il_s512,16,1,main
0.446,0.07,6.381,0.563,0.092,0.281,0.059,1.26,1.32,PASS,rope_gptj_il_s512,16,2,main
0.363,0.068,5.318,0.495,0.087,0.236,0.056,1.37,1.28,PASS,rope_gptj_il_s512,16,3,main
0.395,0.067,5.892,0.517,0.081,0.256,0.054,1.31,1.2,PASS,rope_gptj_il_s512,16,4,main
0.01,0.01,1.008,0.011,0.011,0.01,0.01,1.07,1.04,PASS,rope_llama3_b8_s1,1,0,main
